باره;جنگی:0.03571428571428571
خداوند;دیهیم:0.058823529411764705
تندی;و:0.18181818181818182
کنون;یار:0.014084507042253521
راند;سپاه:0.058823529411764705
اگرچند;بد:1.0
مرگ;را:0.10526315789473684
بشنید;زو:0.02631578947368421
کارزار;اندر:0.015873015873015872
نبیند;کسی:0.1875
زیر;بخت:0.04
شبان;بداندیش:0.2
مغز;تو:0.07142857142857142
بر;ثریا:0.001336898395721925
آن;سخن:0.012048192771084338
روان;کردگار:0.016129032258064516
بدانی;که:1.0
دهدمان;بدم:1.0
بشنید;شد:0.02631578947368421
بیفگند;و:0.375
آن;سرو:0.008032128514056224
در;شاه:0.004347826086956522
هوا;پر:0.12195121951219512
و;بند:0.0023719165085388993
سایه;گسترد:0.14285714285714285
دانی;که‌گر:0.08333333333333333
برون;تاخت:0.10344827586206896
بدان;بد:0.018867924528301886
برین;برزدی:0.017543859649122806
بدان;از:0.009433962264150943
گویم;او:0.25
یزدان;بیابیم:0.015873015873015872
گفت;شاه‌ای:0.0040650406504065045
گفتی;سلیح:0.017857142857142856
برگشادی;زبان:1.0
دستش;ببستند:0.5
بفرمان;اوی:0.08333333333333333
کسان;آبروی:1.0
چپش;رزم‌دیده:0.5
شد;زهر:0.003401360544217687
بدان;تا:0.2358490566037736
گرگین;کارآزموده:0.1
فلکها;یک:1.0
همیدون;گمانم:0.043478260869565216
گزین;من:0.038461538461538464
جنگ;خود:0.006289308176100629
مگر;چشمهٔ:0.01818181818181818
بنزدیک;ایران:0.022727272727272728
گردن;بسالار:0.05555555555555555
و;شاپور:4.743833017077799E-4
آن;ستم:0.004016064257028112
گفتی;گذشت:0.017857142857142856
زد;بگردنش:0.02564102564102564
گذرشان;دهی:1.0
دمیدند;و:1.0
گرازان;و:0.3333333333333333
که;لهراسب:0.0020100502512562816
یکی;تازیانه:0.0036496350364963502
ژیان;آورد:0.058823529411764705
مهتر;منم:0.09090909090909091
گفت;صد:0.0040650406504065045
بزیر;اندرون:0.1111111111111111
تو;پشت:0.0031746031746031746
بسوگند;پیمان:0.25
پراگنده;دید:0.05
طوس;و:0.1
دور;کرد:0.025
سپاه‌ای;سر:1.0
تیز;رفتند:0.029411764705882353
مرا‌گر;بدیدی:0.5
طاس;پر:0.5
هرانگه;که:1.0
گشت;زان:0.01020408163265306
پیران;بدرگه:0.010309278350515464
توران;سواری:0.0136986301369863
را;برآید:0.0015698587127158557
بران;کار:0.020618556701030927
به;تخم:0.0011494252873563218
آگاه;نیست:0.2
گردان;هجیر:0.012658227848101266
فرازی;نهاده:1.0
برو;پشت:0.013157894736842105
هر;کسست:0.005050505050505051
خونی;و:0.25
در;سوی:0.004347826086956522
و;زبانش:4.743833017077799E-4
درگر;پاک:1.0
روان‌ها;گسسته:1.0
بس;نعره:0.02857142857142857
کو;کینه:0.018867924528301886
خسرو;بدوی:0.025
لب;پر:0.08695652173913043
به;تخت:0.0034482758620689655
بی‌نیازی;بدی:0.3333333333333333
با;لشکر:0.01160092807424594
غم;گستهم:0.0625
پای;موی:0.014925373134328358
بیدار;بید:0.027777777777777776
چو;رویین:0.008012820512820512
آهن;ندارد:0.05
بر;کینه‌گه:0.001336898395721925
فردا;که:0.16666666666666666
نیازش;به:0.5
کزو;بازگردد:0.09090909090909091
جهان;پست:0.007518796992481203
را;برادر:0.0015698587127158557
هفتخوان;رخ:0.09090909090909091
نیایش;کنید:0.2
شاه;بستد:0.0033783783783783786
ز;منسوج:9.293680297397769E-4
تنها;بجنگ:0.1111111111111111
به;تایید:0.0011494252873563218
خسته;بشمشیر:0.03125
فرخ;شه:0.03571428571428571
که‌ای;دادگر:0.041666666666666664
امروز;کین:0.09090909090909091
با;کس:0.002320185614849188
جام;آفرین:0.05
سپهشان;بهم:1.0
شمشیر;جست:0.038461538461538464
ندادم;کسی:0.3333333333333333
همین;مهربانیست:0.1111111111111111
بدان;دز:0.009433962264150943
را;سراسر:0.004709576138147566
و;بوی:0.0028462998102466793
لشکر;کشید:0.02512562814070352
کارست;پیش:0.5
اویست;و:0.2
برتخت;قیصر:1.0
وزانپس;هیونی:0.3333333333333333
دمنده;سپهدار:0.25
گوید;از:0.2
در;ماتمست:0.004347826086956522
نیاری;به:0.3333333333333333
آن;کنون:0.004016064257028112
سپردن;بدو:0.25
یکی;تیره:0.0036496350364963502
ولیکن;بدین:0.11764705882352941
با;آهوان:0.002320185614849188
سو;که:0.2222222222222222
مهربانیست;خوی:1.0
و;بنه:0.0023719165085388993
سرانشان;ز:0.2
از;آبگیر:0.0010245901639344263
بددلی;پیش:1.0
بوسه;دادند:0.5
تو;پای:0.0031746031746031746
بورد;تفت:0.125
دانیم;راز:0.5
نهد;پیش:0.14285714285714285
گردان;کجایند:0.012658227848101266
دل;مرد:0.009900990099009901
بزین;خدنگ:0.08333333333333333
داستان;سربسر:0.07142857142857142
بشنید;با:0.02631578947368421
تنگ;زود:0.025
دست;نهنگان:0.010416666666666666
رهام;نیو:0.25
نیابد;گذر:0.1
اندران;جایگه:0.045454545454545456
زمین;لاله‌گون:0.007352941176470588
تنش;نیست:0.045454545454545456
دادگر;را:0.041666666666666664
بدان;سر:0.009433962264150943
و;بوم:0.008064516129032258
شاهان;پیشین:0.09090909090909091
بشکست;هنگام:0.5
نبیند;جز:0.125
کاین;مایه‌ور:0.08333333333333333
بس;خسته:0.05714285714285714
به;تاج:0.0022988505747126436
کردهٔ;جان:0.25
بگشاد;گردان:0.05263157894736842
گرگین;میلاد:0.1
